1.049,acetic_acid,CC(O)=O,8.884501480750248e-05,C=Cc1ccccc1;C=C(Br),5,298,3.445069506172839,0.0410904019582367,0.0002193494684704,9.023703703703704,6.719719518405189,0.1544691358024691,0.0022829827779187
1.049,acetic_acid,CC(O)=O,8.884501480750248e-05,C=Cc1ccccc1;C=C(Br),5,348,3.4554706172839507,0.0487735116926066,0.000347954769506,11.217395061728396,8.181340142989061,0.1549506172839506,0.0023980508266316
1.049,acetic_acid,CC(O)=O,8.884501480750248e-05,C=Cc1ccccc1;C=C(F),5,298,3.443856049382716,0.0429161800527324,0.0002291385357143,8.136296296296296,6.5910389848538165,0.1555432098765432,0.002266499899726
1.049,acetic_acid,CC(O)=O,8.884501480750248e-05,C=Cc1ccccc1;C=C(F),5,348,3.448967160493827,0.0447461993760796,0.0002968245538169,9.800827160493826,7.812933362266245,0.1546049382716049,0.002472960001502
1.049,acetic_acid,CC(O)=O,8.884501480750248e-05,C=Cc1ccccc1;C=CCl,5,298,3.448870740740741,0.0429353545009001,0.000254284028253,9.11248148148148,7.017228073100088,1.1497407407407407,0.0402592762956112
1.049,acetic_acid,CC(O)=O,8.884501480750248e-05,C=Cc1ccccc1;C=CCl,5,348,3.4466933333333336,0.0449568061835159,0.0002559661326887,9.120493827160493,7.443703704645591,1.1224074074074075,0.0298633834909136
1.049,acetic_acid,CC(O)=O,8.884501480750248e-05,C=C(CN);C=CCl,5,298,3.443402962962963,0.0460606509296206,0.0002728416249126,7.895320987654321,7.402949378585888,0.758888888888889,0.0468957340974977
1.049,acetic_acid,CC(O)=O,8.884501480750248e-05,C=C(CN);C=CCl,5,348,3.4508885185185187,0.0437193112997135,0.0002882201152536,8.878777777777778,7.317994223610055,0.8324197530864198,0.0883901095240153
1.049,acetic_acid,CC(O)=O,8.884501480750248e-05,C=Cc1cccc(C)c1;C=CCl,5,298,3.459577901234568,0.0492338316059955,0.0003633787617656,11.81262962962963,8.171678923619492,0.885567901234568,0.0390656106138406
1.049,acetic_acid,CC(O)=O,8.884501480750248e-05,C=Cc1cccc(C)c1;C=CCl,5,348,3.4453438271604933,0.0436478784451231,0.0002533987940584,9.558518518518518,7.714518542878907,0.9116296296296296,0.0549355277439363
1.049,acetic_acid,CC(O)=O,8.884501480750248e-05,C=C(CO);C=C(Br),5,298,3.449219259259259,0.0446280272833607,0.0002827278986892,8.49437037037037,7.5351515839888705,0.1554938271604938,0.0024450678840843
1.049,acetic_acid,CC(O)=O,8.884501480750248e-05,C=C(CO);C=C(Br),5,348,3.4471313580246914,0.0449696535469318,0.000284441053828,8.387432098765434,8.023576393767557,0.1556419753086419,0.0028254078345416
1.049,acetic_acid,CC(O)=O,8.884501480750248e-05,C=C(CO);C=C(F),5,298,3.455622222222222,0.047974815512483,0.0003325611348331,9.677950617283951,8.445381364546131,0.1552839506172839,0.0030071296674848
1.049,acetic_acid,CC(O)=O,8.884501480750248e-05,C=C(CO);C=C(F),5,348,3.442943827160493,0.0439712988200342,0.0002504113046347,7.629839506172838,7.267379524084403,0.1548641975308642,0.002752117417911
1.049,acetic_acid,CC(O)=O,8.884501480750248e-05,C=C(CO);C=CCl,5,298,3.446765061728396,0.0454307688503014,0.0002675241913112,8.143740740740743,7.033513787008872,1.1423703703703705,0.0215958640555841
1.049,acetic_acid,CC(O)=O,8.884501480750248e-05,C=C(CO);C=CCl,5,348,3.447601481481481,0.0439924614785421,0.0002763973093816,8.373666666666665,7.258924079374536,1.1342469135802469,0.0192671477988095
1.049,acetic_acid,CC(O)=O,8.884501480750248e-05,C=C(Br);C=C(F),5,298,3.439361234567901,0.0420797017247184,0.0002333093844892,7.061666666666668,5.879716664039409,0.1545679012345679,0.0022107385035291
1.049,acetic_acid,CC(O)=O,8.884501480750248e-05,C=C(Br);C=C(F),5,348,3.447763950617284,0.0429525823446231,0.0002810868681759,8.335172839506173,7.595295587174093,0.1546172839506172,0.0022142518243402
1.049,acetic_acid,CC(O)=O,8.884501480750248e-05,C=C(Br);C=CCl,5,298,3.4410224691358025,0.042355977015825,0.0002254537811539,7.428358024691358,6.607132956801713,0.9303827160493828,0.0370453735473817
1.049,acetic_acid,CC(O)=O,8.884501480750248e-05,C=C(Br);C=CCl,5,348,3.445505679012345,0.044414679308976,0.00027922632208,7.94267901234568,7.546650580448698,0.8988395061728395,0.0315705976629073
1.049,acetic_acid,CC(O)=O,8.884501480750248e-05,C=C(F);C=CCl,5,298,3.445483456790123,0.044439611908399,0.0002824508633586,7.972382716049383,7.320809626965392,0.8953086419753086,0.0470517555792984
1.049,acetic_acid,CC(O)=O,8.884501480750248e-05,C=C(F);C=CCl,5,348,3.451194814814815,0.0458853908839256,0.0003134085345241,8.449407407407408,8.007317904217642,0.9837407407407408,0.0256692051547854
1.049,acetic_acid,CC(O)=O,8.884501480750248e-05,C=C;CC=C;C=Cc1ccccc1,5,298,3.442784197530864,0.0412647025459762,0.0002428443545708,7.234395061728395,6.434696671276249,0.1540864197530864,0.0026814291880402
1.049,acetic_acid,CC(O)=O,8.884501480750248e-05,C=C;CC=C;C=Cc1ccccc1,5,348,3.443383456790124,0.0451441027460061,0.0002817107532847,7.989283950617285,7.226193872456994,0.154753086419753,0.0026691232397689
